purescript
"=HYPERLINK(""https://github.com/purescript-web/purescript-web-events"";""web-events"")"
"=HYPERLINK(""https://github.com/purescript-web/purescript-web-fetch"";""web-fetch"")"
"=HYPERLINK(""https://github.com/purescript-web/purescript-web-file"";""web-file"")"
"=HYPERLINK(""https://github.com/purescript-web/purescript-web-html"";""web-html"")"
"=HYPERLINK(""https://github.com/purescript-web/purescript-web-promise"";""web-promise"")"
"=HYPERLINK(""https://github.com/purescript-web/purescript-web-socket"";""web-socket"")"
"=HYPERLINK(""https://github.com/purescript-web/purescript-web-storage"";""web-storage"")"
"=HYPERLINK(""https://github.com/purescript-web/purescript-web-streams"";""web-streams"")"
"=HYPERLINK(""https://github.com/purescript-web/purescript-web-touchevents"";""web-touchevents"")"
"=HYPERLINK(""https://github.com/purescript-web/purescript-web-uievents"";""web-uievents"")"
"=HYPERLINK(""https://github.com/purescript-web/purescript-web-xhr"";""web-xhr"")"

node
"=HYPERLINK(""https://github.com/purescript-node/purescript-node-buffer"";""node-buffer"")"
"=HYPERLINK(""https://github.com/purescript-node/purescript-node-child-process"";""node-child-process"")"
"=HYPERLINK(""https://github.com/purescript-node/purescript-node-fs"";""node-fs"")"
"=HYPERLINK(""https://github.com/purescript-node/purescript-node-fs-aff"";""node-fs-aff"")"
"=HYPERLINK(""https://github.com/purescript-node/purescript-node-http"";""node-http"")"
"=HYPERLINK(""https://github.com/purescript-node/purescript-node-net"";""node-net"")"
"=HYPERLINK(""https://github.com/purescript-node/purescript-node-path"";""node-path"")"
"=HYPERLINK(""https://github.com/purescript-node/purescript-node-process"";""node-process"")"
"=HYPERLINK(""https://github.com/purescript-node/purescript-node-readline"";""node-readline"")"
"=HYPERLINK(""https://github.com/purescript-node/purescript-node-streams"";""node-streams"")"
"=HYPERLINK(""https://github.com/purescript-node/purescript-node-url"";""node-url"")"
"=HYPERLINK(""https://github.com/purescript-node/purescript-posix-types"";""posix-types"")"

